G094	100.96	36.40	2.5	0.70	8.9	0.71	-0.0003	0.8	1.51	-0.6	1.56
G095	103.42	36.15	-0.6	0.71	9.7	0.71	-0.0013	-2.5	1.53	-3.9	1.59
G096	101.99	36.21	1.8	0.71	9.1	0.71	-0.0004	2.4	1.51	1.0	1.56
G097	100.55	36.22	2.9	0.70	9.3	0.70	0.0002	0.6	1.50	-0.8	1.55
G098	102.26	36.12	1.3	0.93	8.8	0.93	0.0005	2.9	1.15	1.5	1.22
G099	103.99	36.00	-0.9	0.73	8.2	0.73	0.0005	0.7	1.63	-0.8	1.69
G100	101.11	36.45	1.7	0.98	9.1	0.98	-0.0034	-1.1	1.34	-2.5	1.40
G101	103.33	35.93	1.2	0.71	9.1	0.71	-0.0004	0.0	1.52	-1.5	1.57
G102	102.03	35.92	1.9	0.98	9.6	0.98	-0.0045	1.7	1.38	0.2	1.44
G103	101.44	36.08	0.2	0.70	8.8	0.70	0.0001	2.1	1.48	0.7	1.54
G104	104.16	35.88	0.2	0.92	8.2	0.92	-0.0017	-0.6	1.07	-2.0	1.15
G105	102.79	35.88	1.2	0.91	8.8	0.92	0.0061	2.0	1.06	0.6	1.14
G106	102.54	35.84	1.6	0.96	9.3	0.96	-0.0019	0.4	1.26	-1.0	1.33
G107	104.55	35.54	-0.9	0.58	7.8	0.59	-0.0003	3.8	1.51	2.4	1.57
G108	103.21	35.57	0.9	0.74	8.6	0.74	-0.0016	3.4	1.66	2.0	1.71
G109	102.05	35.54	2.8	0.61	9.8	0.61	0.0010	1.9	1.70	0.5	1.75
G110	106.68	34.95	-3.0	0.71	5.6	0.71	-0.0003	0.3	1.52	-1.1	1.58
G111	103.84	35.38	-0.7	0.87	6.6	0.88	-0.0007	1.6	2.32	0.1	2.35
G112	103.34	35.41	0.5	0.99	8.4	0.99	-0.0019	0.5	1.45	-0.9	1.51
G113	102.81	35.26	0.7	0.71	8.8	0.71	0.0132	2.3	1.50	0.9	1.56
G114	104.10	35.04	-0.4	0.73	7.4	0.73	-0.0013	2.9	1.62	1.5	1.68
G115	102.44	35.12	2.0	0.94	8.4	0.95	0.0005	2.0	1.21	0.6	1.28
G116	104.54	35.05	-1.6	0.76	6.2	0.76	-0.0071	3.0	1.75	1.5	1.80
G117	103.71	35.29	0.4	0.99	8.1	0.99	-0.0008	2.2	1.43	0.8	1.49
G118	102.89	34.95	0.2	0.76	9.4	0.76	-0.0012	1.5	1.78	0.1	1.83
G119	104.48	34.85	0.2	0.90	7.4	0.90	-0.0039	2.2	0.98	0.8	1.07
G120	104.94	34.71	-1.6	0.71	7.0	0.71	-0.0002	1.6	1.53	0.2	1.58
G121	104.91	34.47	-1.2	0.71	7.1	0.71	-0.0021	0.6	1.55	-0.8	1.60
G122	97.05	41.85	1.5	0.71	3.2	0.71	-0.0004	0.5	1.53	-0.9	1.59
G123	95.46	41.07	3.2	0.73	2.1	0.73	-0.0012	0.6	1.63	-0.9	1.68
G125	96.71	40.64	2.0	0.99	2.3	0.99	-0.0008	0.7	1.39	-0.7	1.45
G127	97.68	40.27	1.2	0.72	2.2	0.72	-0.0005	-0.8	1.55	-2.3	1.61
G128	97.08	40.29	2.3	0.71	1.6	0.71	-0.0001	1.1	1.52	-0.3	1.57
G129	97.44	40.03	1.3	0.71	1.7	0.71	0.0021	1.6	1.53	0.2	1.59
G130	96.75	40.04	2.7	0.92	1.7	0.92	0.0001	1.6	1.07	0.2	1.15
G131	95.71	40.08	3.4	0.99	0.7	0.99	0.0005	1.4	1.45	0.0	1.51
G132	98.89	39.91	0.4	0.71	1.8	0.71	0.0002	1.2	1.52	-0.3	1.57
G133	99.60	39.70	0.9	0.93	2.3	0.93	-0.0003	0.6	1.14	-0.8	1.21
G134	102.32	38.70	0.0	0.71	3.3	0.71	-0.0008	1.1	1.53	-0.3	1.59
G135	98.50	39.71	0.9	0.71	1.9	0.71	-0.0001	0.6	1.52	-0.9	1.57
G136	98.19	39.84	1.6	0.97	1.8	0.97	0.0001	1.3	1.30	-0.1	1.37
G137	97.92	39.85	1.7	1.18	1.7	1.18	0.0000	0.6	0.90	-0.8	0.99
G138	97.70	39.57	2.7	0.98	2.5	0.98	-0.0010	1.8	1.38	0.4	1.44
G139	96.75	39.90	2.5	0.92	1.1	0.92	0.0010	0.8	1.08	-0.6	1.15
G141	101.14	38.93	0.9	0.71	2.9	0.71	-0.0003	1.7	1.52	0.3	1.58
G142	98.80	39.41	0.9	0.93	4.0	0.93	-0.0004	1.0	1.14	-0.4	1.21
G143	99.61	39.15	1.1	0.71	2.6	0.71	-0.0006	2.1	1.52	0.7	1.57
G144	98.00	39.19	1.9	0.71	3.2	0.71	0.0000	1.3	1.52	-0.1	1.57
G145	95.61	39.71	3.2	0.71	1.5	0.71	0.0004	3.7	1.53	2.3	1.59
G146	99.62	38.83	1.2	0.72	3.5	0.72	0.0025	1.8	1.54	0.4	1.59
G147	98.27	38.97	2.3	0.91	3.6	0.91	-0.0007	2.3	1.03	0.8	1.11
G148	99.56	38.44	1.9	0.71	4.0	0.71	-0.0001	2.5	1.52	1.1	1.58
G149	98.85	37.98	2.8	0.90	6.9	0.91	-0.0003	2.0	1.00	0.6	1.08
G150	98.66	37.58	3.4	0.19	7.5	0.19	0.0001	2.2	0.94	0.8	1.02
G152	99.49	37.13	2.7	0.71	8.6	0.71	-0.0005	1.1	1.53	-0.3	1.58
G153	99.01	37.30	2.9	0.94	7.6	0.94	0.0009	1.0	1.14	-0.4	1.21
G154	98.34	37.31	3.8	0.97	6.5	0.97	0.0008	-0.3	1.31	-1.7	1.37
G156	96.70	37.36	4.4	0.92	4.9	0.92	0.0002	0.5	1.07	-0.9	1.14
G157	99.90	36.69	3.3	0.80	9.0	0.80	0.0001	0.5	1.98	-0.9	2.02
G158	99.07	36.80	3.0	0.91	9.0	0.91	-0.0029	0.7	1.03	-0.7	1.11
G159	98.46	36.94	3.6	0.71	7.6	0.71	-0.0002	2.8	1.52	1.3	1.57
G160	95.00	40.55	3.1	0.99	1.8	0.99	0.0003	1.7	1.42	0.3	1.48
G161	94.81	40.17	2.9	0.59	2.1	0.59	0.0002	0.2	1.52	-1.2	1.57
G162	94.55	39.72	3.6	0.70	1.4	0.71	-0.0009	-1.3	1.48	-2.7	1.54
G163	93.49	39.64	4.6	0.71	1.5	0.71	0.0011	2.4	1.53	0.9	1.59
G164	94.86	39.51	3.6	0.95	2.8	0.95	-0.0001	0.8	1.23	-0.6	1.29
G165	93.00	39.29	5.5	0.98	2.9	0.98	-0.0032	1.4	1.37	0.0	1.43
G167	94.36	38.81	4.5	0.99	4.5	0.99	0.0005	3.3	1.42	1.8	1.48
G169	95.00	38.06	4.3	0.72	1.4	0.72	-0.0021	1.6	1.55	0.2	1.61
G170	93.50	37.90	7.3	0.91	3.4	0.91	0.0035	2.3	1.03	0.9	1.11
G171	90.80	38.29	12.0	0.71	5.8	0.71	0.0008	1.7	1.52	0.3	1.57
G172	89.20	38.72	9.3	0.18	0.0	0.19	0.0013	4.0	0.91	2.6	0.99
G301	97.05	42.27	-0.6	1.78	5.0	1.78	-0.0001	-	-	-	-
G303	102.88	41.81	-3.1	1.83	4.5	1.84	0.0006	-	-	-	-
G305	96.92	41.23	1.0	1.80	5.3	1.80	-0.0016	-	-	-	-
G306	103.73	39.95	-2.4	1.81	1.3	1.82	-0.0024	-	-	-	-
G307	101.97	39.33	-1.6	1.75	2.8	1.76	-0.0022	-	-	-	-
G308	98.55	39.94	1.8	1.76	3.6	1.76	0.0002	-	-	-	-
G310	105.09	39.63	1.1	1.71	7.0	1.72	-0.0114	-	-	-	-
G311	94.33	39.62	2.1	1.78	4.4	1.79	0.0008	-	-	-	-
G312	94.26	39.41	3.4	1.79	6.7	1.79	0.0020	-	-	-	-
G313	97.09	39.46	1.2	1.76	6.6	1.76	-0.0004	-	-	-	-
G314	94.31	39.16	1.2	1.81	6.1	1.82	0.0021	-	-	-	-
G315	95.46	39.25	2.6	1.80	8.6	1.81	-0.0005	-	-	-	-
G316	90.73	38.87	8.7	1.80	5.6	1.81	0.0043	-	-	-	-
G318	100.17	38.97	1.3	1.58	2.9	1.58	0.0016	-	-	-	-
G319	91.50	38.76	6.3	1.87	2.5	1.89	0.0075	-	-	-	-
G320	101.01	38.72	-0.5	1.77	5.3	1.78	-0.0022	-	-	-	-
G321	100.87	38.61	1.4	1.78	5.9	1.78	-0.0008	-	-	-	-
G322	89.56	38.52	8.0	1.79	2.6	1.80	0.0059	-	-	-	-
G323	93.42	38.53	5.6	1.80	6.5	1.82	0.0014	-	-	-	-
G324	89.87	38.44	9.1	1.79	4.9	1.80	0.0043	-	-	-	-
G326	90.10	38.35	8.7	1.79	7.3	1.80	0.0057	-	-	-	-
G328	90.27	38.29	9.7	1.82	6.3	1.84	0.0059	-	-	-	-
G329	100.74	38.44	1.1	1.33	6.9	1.33	-0.0010	-	-	-	-
G330	100.34	38.17	2.2	1.75	5.1	1.77	0.0004	-	-	-	-
G331	102.75	38.17	0.6	1.76	6.4	1.77	-0.0042	-	-	-	-
G332	92.42	38.07	9.6	1.80	7.4	1.81	0.0048	-	-	-	-
G333	89.34	38.11	9.1	1.80	7.5	1.82	0.0030	-	-	-	-
G334	100.24	38.01	1.9	1.80	6.5	1.81	-0.0015	-	-	-	-
G335	91.68	37.85	9.5	1.80	5.5	1.81	0.0053	-	-	-	-
G336	99.41	37.62	1.5	1.79	7.5	1.81	-0.0015	-	-	-	-
G337	101.73	37.42	-0.1	1.79	8.0	1.80	0.0000	-	-	-	-
G338	100.90	37.66	1.7	1.75	9.2	1.76	0.0020	-	-	-	-
G339	90.92	37.02	10.4	1.86	8.9	1.87	0.0086	-	-	-	-
G340	106.22	37.28	-2.0	1.86	5.7	1.87	-0.0062	-	-	-	-
G341	95.48	37.22	8.6	1.81	8.5	1.82	-0.0013	-	-	-	-
G342	106.62	37.12	-2.3	1.85	7.0	1.86	-0.0060	-	-	-	-
G343	104.05	36.99	-0.8	1.83	8.8	1.83	-0.0041	-	-	-	-
G344	95.37	36.95	7.7	1.81	9.3	1.83	0.0003	-	-	-	-
G345	105.64	36.83	-1.7	1.84	8.6	1.85	-0.0068	-	-	-	-
G346	93.62	36.75	6.5	1.80	4.5	1.81	0.0003	-	-	-	-
G347	91.89	37.04	10.7	1.86	8.9	1.89	0.0042	-	-	-	-
G348	106.68	36.57	-1.5	1.86	7.2	1.87	-0.0050	-	-	-	-
G349	96.45	36.44	7.1	1.80	5.4	1.82	-0.0023	-	-	-	-
G351	99.77	36.25	3.9	1.76	8.2	1.77	-0.0016	-	-	-	-
